PacketSize,ResponseTime,Protocol,SrcIP,DstIP,SrcPort,DstPort,PacketRate,FlowDuration,NumPackets,PayloadSize,FlagCount,AnomalyScore,Entropy,BytesSent,BytesReceived,FlowRate,ActiveTime,IdleTime,AttackLabel
1190,0.1805969520363993,ICMP,192.168.1.171,10.0.0.12,61172,49583,43.64125111540947,9724,190,1408,5,0.04472192915196782,0.5638176766449423,71220,59758,4.401756354173858,69.13535003913118,85.76480677870376,Normal
924,4.933597971982236,ICMP,192.168.1.39,10.0.0.99,47950,9256,45.28222377768498,2617,372,1040,2,0.20491298052653917,0.9176601331187663,27256,93412,6.994972768795017,33.00201645637708,86.48715003752872,Normal
1358,0.6236243345628374,ICMP,192.168.1.189,10.0.0.133,10759,32263,1.7092110330787638,8797,419,1088,4,0.2329130542531116,1.0848484300059986,36659,6804,1.7545757129252337,32.69099879177994,2.665815921308477,Normal
1194,1.1633432530139567,TCP,192.168.1.170,10.0.0.81,35481,18094,11.792802763361982,5905,198,77,8,0.4150454939539002,0.6423107717574119,21565,85644,6.427149934354042,27.009560491725278,67.1245867269438,Normal
1159,0.26796721783521954,ICMP,192.168.1.209,10.0.0.250,43555,5783,18.574109275404464,1196,353,437,6,0.21484601163625383,0.7974060199096885,42220,15479,5.944765836973419,45.3374976896724,60.208566222121114,Normal
1108,3.2036148045161994,UDP,192.168.1.79,10.0.0.106,8751,1235,11.447373006129622,9336,277,882,1,0.6309104308617446,0.736883368846846,82853,54698,7.559055906660258,77.22041031549765,8.425443958384465,Normal
185,1.1312588730936732,ICMP,192.168.1.146,10.0.0.32,8788,57646,34.21845493459425,7161,336,299,0,0.21125473081058177,0.11260468989279765,10290,42120,2.981038913583196,83.57730967528151,93.02059434324475,Normal
530,0.9082520829888903,UDP,192.168.1.151,10.0.0.74,63515,37974,96.4658232761401,2304,495,2077,6,0.18787653894114598,0.6538406647981875,63494,8673,9.332324093965378,80.47033698055435,44.59269215487279,DoS
1302,0.4518923652739746,ICMP,192.168.1.182,10.0.0.171,64195,34189,50.971331578875095,4002,39,1578,3,0.4712369928003699,0.9222477342409148,5435,22515,9.613397683263361,62.15723840342751,67.45834524172778,Normal
394,0.5255116960488382,TCP,192.168.1.243,10.0.0.81,54717,31997,62.792846784677586,1452,162,4243,6,0.8886685993238188,0.8979226029820654,54739,88202,8.682554876101333,28.114710752321997,88.29149977076125,Normal
151,2.927506795208518,ICMP,192.168.1.30,10.0.0.69,61647,29205,35.70300920445052,1696,490,1888,5,0.4683054873786342,1.1496745816679454,71896,66768,5.7246173239438125,73.51203506025693,13.099094979302114,Normal
1460,3.444157250674311,UDP,192.168.1.250,10.0.0.45,53717,17153,32.4164273881503,8867,121,1410,6,0.413848744572167,1.038526274609474,25878,51728,4.208679823906892,4.032257980038658,85.59873003612293,Normal
1187,1.9929211524373611,UDP,192.168.1.98,10.0.0.106,46795,65403,2.412362514309335,7080,380,3159,3,0.5780949074597088,0.4875295159626152,81241,52387,0.589344261513849,79.83542549031378,72.45813241014257,Normal
935,2.4046864371444454,ICMP,192.168.1.58,10.0.0.137,28623,55187,50.08333220203464,779,399,1373,2,0.2572136787516285,0.4579011401825477,18659,1044,9.472805736595287,78.0447336502508,83.97527296352023,DoS
194,3.432979002555091,UDP,192.168.1.196,10.0.0.177,1842,42365,48.412539774491464,3812,262,2276,4,0.35343655449043443,0.7497985172888078,42441,5940,9.518295623546685,67.03311120633015,49.53408694686967,Normal
1396,0.0967251530255434,UDP,192.168.1.67,10.0.0.161,48231,25020,15.867289545494192,9421,450,3730,2,0.21383525566713057,1.1261575348103168,20657,53214,0.19669766524704171,9.882752453559215,3.445136868420681,PortScan
833,1.62242197878069,TCP,192.168.1.71,10.0.0.228,48869,19489,76.45596762064969,8609,216,941,2,0.5718099946076837,0.23135822920635013,43881,39542,3.5753065909407935,99.73439941927693,67.08453278669212,PortScan
407,4.865757762871029,ICMP,192.168.1.248,10.0.0.100,38313,37124,49.3181655980692,5401,312,1355,3,0.6973875615692153,1.4276572162506274,90553,43589,8.801563318900035,75.66527832085943,37.51578959917545,Normal
869,2.9047600261803854,ICMP,192.168.1.146,10.0.0.146,34916,19690,33.965497619141175,5834,49,4598,7,0.6736986409905719,0.8604143731890043,91573,45361,0.8177118100657869,73.5072024176885,40.30134185285209,Normal
449,1.2785806536884914,ICMP,192.168.1.106,10.0.0.9,6684,50691,14.776200011390404,8081,92,4242,1,0.2548178179647618,0.5289717529069009,97174,44378,1.9736981033349719,6.494384467678221,44.182093930487426,Normal
1279,2.6134329327147037,UDP,192.168.1.7,10.0.0.62,65150,28507,55.260866614404144,5992,129,311,3,0.779648205747967,1.0707477232339964,72357,33702,9.786986395027713,39.93064214463257,49.34167261460359,DoS
1019,1.7198409057233677,ICMP,192.168.1.40,10.0.0.185,30545,17716,75.3064209062721,3796,321,2390,2,0.25595366524993024,0.16261614274034253,20675,20234,8.474415233082283,8.708682664733447,66.22722983333709,Normal
340,2.6659024942432326,ICMP,192.168.1.70,10.0.0.29,39433,57321,28.271735333228673,7229,28,1843,6,0.15031155126776297,0.7781556820962879,72948,69820,9.121514305896799,36.16759698022317,72.70489005756225,Normal
1248,0.6374501439151777,TCP,192.168.1.214,10.0.0.125,51305,64227,21.957555722514584,3096,356,2346,1,0.34980874868719436,0.7803575064493325,4716,93599,1.430122642366619,57.09150688028263,77.70654440752637,Normal
